Rank,Ticker,Name,Exchange,Return_1M_%,SharpeRatio,SortinoRatio,MaxDrawdown,ConsistencyScore,VolumeTrend,QualityScore,RSI,MomentumAccel,PriceVs20dHigh,VolumeSurge,EntryScore,DistanceFromHigh,AvgDrawdown,VolumeConsistency,VolatilityRatio,SMA7,SMA20,SMA50,SMA200,PriceToSMA20Pct,PriceToSMA50Pct,PriceToSMA200Pct,PriceVs52wkHighPct,PriceVs5yrHighPct,PctDaysPositive21d,VolumeUpDnRatio,MovingAvgAlignment,DaysAboveSMA20,UpDnVolumeRatio63d,ROC63,VolCompression5d63d,ConsolidationTightness10d,MaxSingleDayReturn21d,GapUpMagnitude10d,TrendLinearity63d,DaysSince52wkHigh,NormMomentum5d,NormMomentum21d,NormMomentum63d,MomentumAccel5_21,MomentumAccel21_63,VolumeConfirmedMomentum,Momentum12_1,MomentumIntermediate,MomentumAccelLong,EMA7,EMA200,MACD,MACDSignal,MACDHist,RSI7,RSI21,StochK,StochD,ROC5,ROC10,ROC21,ATR14,BollingerPctB,BollingerBandwidth,AnnualizedVol,OBV,RelativeVolume,VolumeROC,Sector,Industry,MarketCap,PE,ForwardPE,PB,PS,PEG,EPS,RevenueGrowth,EarningsGrowth,ROE,ROA,GrossMargin,OperatingMargin,NetMargin,DebtEquity,CurrentRatio,DivYield,Beta,ShortFloat,InstOwnership,MarketCapCategory,MLScore,AboveSMA200,MLScore_lgbm_breakout_v10,MLScore_lgbm_composite_v10,MLScore_lgbm_breakout_cohort_v3,MLScore_lstm_clip_v3,CalibratedProb,CalibratedSignal,BreakoutProb_lgbm_binary_breakout_v2,BreakoutProb_lgbm_binary_breakout_252d_v1,BreakoutProb_lgbm_binary_breakout_252d_v2
0,MXL,"MaxLinear, Inc - Common Stock",NASDAQ,241.95012348028425,1.4564716659250616,2.1218677640889445,-9.66291790492531,54.54545454545454,147.0702214436971,72.23982928507043,99.90464621025065,0.353593740518526,100.0,296.49489896783666,30,0.0,-3.4818242657253697,-0.2744895520488244,1.5849999692162815,34.78714288984026,24.55299997329712,20.31739990234375,17.482049970626832,145.67262558720273,196.88838131234445,245.0396251936889,0.0,0.0,0.8095238095238095,21.57540363766688,3.0,18.0,3.6394277110667743,227.64801843984475,2.841561662655292,0.7113726801144864,0.761167874301437,0.5148095798936942,0.2208726055193715,0.0,,,,,,,0.7782383964514221,0.6663213014877913,1.5000225244932257,37.67959648294893,17.754199070734142,6.305628786448988,3.138087246725705,3.167541539723284,99.56121489058258,94.30175439898149,92.98091521774693,86.6737346066159,129.6155258611639,191.5417986361674,238.87641730475335,6.145726213510506,1.3633968585833267,168.7203562753568,86.97086523128841,92115824.0,7.672690538522882,3290.821694434597,Technology,Semiconductors,1404955136.0,,14.152314,3.0763342,3.0043457,,-1.58,0.48,,-0.28235,-0.07703,0.56841,-0.1106,-0.29228002,32.093,1.338,,1.759,0.0998,0.85162,Small,26.8,True,19.8,66.2,99.3,50.0,0.076,STRONG SELL,0.682,0.789,0.778
1,POET,POET Technologies Inc. - Common Shares,NASDAQ,163.06621922614144,1.383705912486565,1.806544613625613,-16.7213114241508,48.48484848484848,255.2316159657211,72.74860230554596,84.74576314771878,0.396900390531588,100.0,257.46790639048965,30,0.0,-6.630906049419452,-0.4953632908704359,1.341025302696945,10.432857377188546,7.665500068664551,6.829000015258789,6.332700004577637,96.98650115726085,121.11583464240928,138.44490297273808,0.0,0.0,0.5238095238095238,2.584987376900272,3.0,11.0,1.4876642955786126,118.52388878307842,1.7052586296910082,0.5913907021682764,0.288395907630623,0.0987033584483023,0.2575053343063254,0.0,,,,,,,0.3522167114513854,0.4901478512319721,0.9852446341063008,11.175980146087522,6.203255567890418,1.5927135825738628,0.7513164986898163,0.8413970838840464,85.75594475832035,77.2735973224764,95.93082785722476,92.22537624533534,107.98897941350872,114.48864294446948,147.54099373021663,1.6740904820951503,1.1847191475928038,141.64420769920957,102.76516820240388,188875126.0,3.1937101538173502,783.6417538443949,Technology,Semiconductors,775772800.0,,-26.736841,6.958904,1017.14685,,-0.71,79.986,,-1.04168,-0.31016,1.0,-32.01603,0.0,10.964,2.298,,0.364,0.0769,0.07677,Small,12.1,True,11.1,21.2,97.4,50.0,0.068,STRONG SELL,0.736,0.692,0.391
2,AEHR,Aehr Test Systems - Common Stock,NASDAQ,144.73081659345675,2.097996117855386,2.7113448024343008,-23.1436542620702,50.84175084175085,195.96850563423175,78.5852474545314,90.81919193752694,0.0327783188415628,98.51068514877556,79.21736791080637,10,-1.4893148512244567,-7.372793759479568,0.0101969501760815,0.9730266022181108,91.05142974853516,67.25600061416625,49.03240016937256,30.211750020980837,42.604381447426825,95.60536161967916,217.4592785770562,-1.4893148512244567,-0.0148931485122445,0.7142857142857143,4.951842117437135,3.0,17.0,2.5588752769510674,242.0470774984838,0.4092232402587284,0.3542905021320303,0.2569154198489971,0.1157091028794932,0.6774163362948235,0.0079365079365079,,,,,,,2.9781359452378013,2.710011879775574,-0.396731867457579,90.07600684588752,32.411890982806135,14.86219329849014,12.181727953411292,2.680465345078847,87.21827812540288,79.17734605521802,87.78356381939275,89.82391416403101,14.3691902743325,36.17776976647424,145.73406779859806,8.649016743133284,0.8178623685270816,134.03405267772982,107.35007743116591,87215399.0,0.5884351325638936,126.76842287995834,Technology,Semiconductor Equipment & Materials,922342400.0,,240.92,7.0526934,17.32131,,-0.3,-0.265,,-0.06974,-0.05011,0.33276,-0.4918,-0.16631001,7.771,10.619,,2.31,0.1531,0.70889,Small,38.8,True,30.0,83.6,87.7,50.0,0.093,STRONG SELL,0.663,0.358,0.374
3,AGL,"agilon health, inc. Common Stock",NYSE,139.90845425065075,-0.1747784056517896,-0.1827259492358746,-27.597256665310425,44.78114478114478,31.564941399604194,19.007760404881523,69.73895971440791,-0.0448271496570787,84.7123420557852,107.40858131847912,45,-15.2876579442148,-11.870335991967671,-0.4457559418528551,1.1024928659748083,27.80285671779088,20.00074973106384,15.68029993057251,23.319824986457824,31.04508299388907,67.15240907713742,12.393635456926456,-76.49327436370166,-0.8154225416586433,0.5714285714285714,1.3950974797694096,2.0,15.0,0.7034658789750424,5.792127096014507,0.9732967352578548,0.5207936666417302,0.2998138115131046,0.0193673463633116,0.105985710744019,0.9642857142857144,,,,,,,-0.9002617840991595,-0.6989528795811518,1.005003561256045,26.237554695183384,31.87325632564898,3.771260906418732,3.2111023535358374,0.5601585528828945,58.02505047713658,60.92175607180751,66.75675022245096,73.93101183154215,-12.778702995280058,37.80230522431001,145.52691912100445,3.846305720019108,0.699670609041195,155.4814859481097,133.10625109369465,-10608780.0,0.6787097097396048,184.7845420001617,Healthcare,Medical Care Facilities,133339136.0,,-1.6387925,1.0503268,0.022475759,,-0.98,0.031,,-1.3563901,-0.17514,-0.026970001,-0.09965,-0.06597,29.049,1.019,,0.108,0.103199996,0.89849,Micro,,,,,,,,,,,
4,APLS,"Apellis Pharmaceuticals, Inc. - Common Stock",NASDAQ,137.60882016480463,0.6340606454845699,1.435437916057715,-4.232505807349385,46.12794612794613,235.05738643898448,45.78958650617938,79.80808732906861,0.0,100.0,29.830046083456097,10,0.0,-1.2172939413723152,-0.8414776797705503,1.717982988716955,40.91714205060686,38.375249767303465,27.33849975585937,24.46712491989136,6.68334115076103,49.75217730422257,67.32656068398727,0.0,0.0,0.6190476190476191,6.934964206471816,3.0,18.0,1.9702108262867823,88.22987874348959,0.0087900118125505,0.0061064975179774,1.3540081441218952,-0.0001220628623741,0.4400900980077364,0.0158730158730158,,,,,,,0.0057011669841231,0.2976054185227248,0.8560541332810407,40.77337413370398,24.90389976465622,4.377587158954817,4.8154139587879365,-0.4378267998331191,92.2901719790262,82.22062732343305,97.14226547939532,95.09661014516894,0.0977924189190323,0.3677315710099474,131.03837592056215,0.4049058111652499,0.5878008768427663,76.11929847499759,100.67583226073825,98134000.0,0.2026226713165466,10.275209747234545,Healthcare,Biotechnology,2184613120.0,94.94444,-66.75781,5.8467326,2.176382,,0.18,-0.059,,0.07479,0.03534,0.60341,-0.25582,0.0223,128.154,3.136,,0.29,0.2354,1.0067401,Mid,51.9,True,51.6,39.7,41.0,50.0,0.161,STRONG SELL,0.417,0.383,0.245
5,FBYD,"Falcon's Beyond Global, Inc. - Class A Common Stock",NASDAQ,137.5579657492354,1.0801692791577997,1.2867681684652374,-23.4042560386859,45.79124579124579,68.24199368655377,45.92278166964225,65.08987682261665,0.2394933092484697,97.96048627544704,80.5856251272408,35,-2.039513724552957,-13.128877971469604,-0.8818277839250448,1.0360132011379997,14.20714269365583,12.607499933242796,8.798599972724915,10.0976800096035,21.91156031682593,74.68688124480119,52.21318036362104,-26.10576707054164,-0.2610576707054164,0.5714285714285714,2.0326627101756904,2.0,22.0,1.3687681935486915,123.076925738736,0.5319849558556721,0.4187377955901776,0.2398753310997745,-0.0093992459620056,0.7617231581925671,0.3888888888888889,,,,,,,0.1094147733977042,0.5229007714630558,1.50898389529242,14.366014945425798,9.386753077545146,1.7250965893098886,1.4782508743115874,0.2468457149983012,71.66555189337046,64.46834751351815,75.91307198874358,78.70396071342549,13.264555867465551,26.19047208913237,100.13021131647602,1.8171983038478516,0.91612829046925,52.65578144691197,124.2203423058933,2516845.0,0.4777030325451882,-23.6993006993007,Industrials,Conglomerates,578015552.0,,,47.38095,59.75556,,-0.26,0.959,,-1.01612,-0.16622,0.79882,-0.91120005,0.10564999,93.381,0.306,,-0.553,0.0495,0.05151,Small,7.0,True,6.5,20.0,7.9,50.0,0.145,STRONG SELL,0.645,0.519,0.33
6,CBIO,"Crescent Biopharma, Inc. - Common Stock",NASDAQ,137.54789496026038,-0.077170216962661,-0.0934386049155616,-8.080060571398677,40.06734006734007,143.09046071771513,25.970748321480716,67.92327968074619,0.2254876890665098,91.91993942860132,134.8472688612918,60,-8.080060571398677,-4.126077608879614,-0.5484611187491435,1.0203771104021837,23.495714460100448,20.249000072479248,14.88840000152588,13.133150005340577,22.47517975352589,66.57262858681155,88.83511744688565,-8.148150973849827,-0.3111111323038737,0.6190476190476191,2.589927398955584,3.0,22.0,1.2523262807906748,93.74999115243568,1.3090492092227184,0.4064516223308078,0.1460102127349525,-0.0050251448938023,0.7188871991728714,0.9682539682539684,,,,,,,-0.4599999999999999,-0.4808000183105468,1.570638232941323,23.76705937979775,15.412709981447788,2.993013861466917,2.488181836726234,0.5048320247406828,69.06482126272186,71.02622250766046,74.18397178256151,84.33893929034812,16.541346037756718,36.48871289448499,110.52631408511422,2.253556455101879,0.8703841119847892,60.68073393614922,77.92447971050554,-1455125.0,0.883994650114134,-7.881574239713775,Healthcare,Biotechnology,506025312.0,,-4.6467805,2.7736983,46.66408,,-12.81,,,-1.6074699,-0.69149,1.0,-8.43711,0.0,0.81,6.561,,,0.12,0.8753,Small,13.1,True,15.6,9.5,11.2,50.0,0.091,STRONG SELL,0.677,0.711,0.427
7,ANL,Adlai Nortye Ltd. - American Depositary Shares,NASDAQ,111.73105401071224,1.6963442558164286,2.929747073432478,-15.49745062424308,48.48484848484848,156.51921556686327,70.9521692683513,67.74785947088816,-0.0839906447433925,89.15662560620076,78.81665823136944,45,-10.843374393799232,-7.318260378032677,-5.319558624487273,0.6838869286283221,15.44285706111363,11.95750002861023,9.918999967575074,4.094639992713928,23.771692706029665,49.208591986244976,261.44814237809027,-10.843374393799232,-0.1084337439379923,0.6190476190476191,2.598147409377599,3.0,17.0,4.755651688424493,462.7376253510555,0.3581346963623476,0.6790540581902419,0.3001658175459778,0.0070421904599441,0.3034212877125333,0.0158730158730158,,,,,,,2.55263162352702,-0.1052631215705761,1.072368367159754,14.956681137647866,5.511977034261925,1.99520025995462,1.7373686081036035,0.2578316518510166,58.19738586008605,63.75078504060251,75.62189290778521,80.39800766526393,-7.557776519978732,32.61649097752302,107.86517455923703,2.205012142417444,0.7017550728151418,117.82451055300346,119.50895005135813,53837986.0,0.5013164820314167,119.19319727891155,Healthcare,Biotechnology,388274880.0,,-29.161337,30.744186,,,-1.14,,,-1.38983,-0.29808,0.0,0.0,0.0,562.644,1.025,,-1.452,0.0202,0.061929997,Small,2.6,True,2.5,14.9,1.1,50.0,0.067,STRONG SELL,0.58,0.573,0.243
8,KOD,Kodiak Sciences Inc - Common Stock,NASDAQ,105.21738841988868,1.9067479470967188,2.795381948471104,-15.342049123823678,52.52525252525253,82.60347246029762,69.12843329054851,64.092666225178,-0.1625971852557901,96.5546974129304,40.35961091254154,35,-3.445302587069605,-4.743032538277264,-0.2777404852572462,0.5923095192072065,44.73285675048828,42.12049999237061,31.93000003814697,20.741500000953675,6.456476444272687,40.43219573760496,116.18494395548149,-3.445302587069605,-0.034453025870696,0.5238095238095238,1.790832561764815,3.0,21.0,1.2718666868665158,73.39520144728372,0.2342360377894687,0.1888938713621812,0.7476922339135474,-0.0023424321230009,0.6521414605272616,0.0158730158730158,,,,,,,8.489259613019907,2.6968972695895,-7.74179272216916,44.6534293154795,22.07150694368351,4.11337617641874,4.303902157026196,-0.1905259806074557,59.74745248097431,62.77674486501112,68.32101781104885,70.85532725559892,-0.1336333435455069,4.01298890684989,97.0989017696171,3.287254738272314,0.7054509596512525,31.4258763027069,122.88276042857451,39345978.0,0.3161521670677564,-43.44555760611653,Healthcare,Biotechnology,2054890112.0,,-9.493993,75.13393,,,-4.12,,,-2.07915,-0.47210997,0.0,0.0,0.0,262.54,1.785,,2.687,0.1726,0.94268996,Mid,8.2,True,6.2,40.5,2.0,50.0,0.077,STRONG SELL,0.611,0.814,0.717
9,INBX,"Inhibrx Biosciences, Inc. - Common Stock",NASDAQ,104.46768020048194,2.0357051860367625,3.752264204727884,-12.142641898876656,56.22895622895623,109.25010261549866,75.07926949512854,89.98775188204155,0.4681009444580249,100.0,230.85709611271795,30,0.0,-4.499433278117659,-0.922560013362368,1.4754614403994086,100.26928601946148,80.32150020599366,75.73800003051758,58.87927498817444,60.679266731329285,70.40322890304842,119.19427096294018,0.0,0.0,0.6190476190476191,4.373942557206888,3.0,13.0,1.911961240181344,72.86363679097013,2.369885870455956,0.6242832294247533,0.3688153405270562,0.7239364680788835,0.016120564214036,0.0,,,,,,,4.49165304085197,1.4791320448911551,-3.6991530747603902,105.48548146022902,58.707273384527895,11.435839013039695,5.574250851301921,5.861588161737776,90.41475705459686,77.37114496117627,72.37929996031654,64.27104944948424,46.27676827403352,71.46273856049426,94.19199418669058,14.350779651369653,1.108579092689415,99.70645962084772,96.6596337280662,20159557.0,1.120196434456619,154.18510963793983,Healthcare,Biotechnology,874669312.0,,-21.462366,109.27008,672.8226,,-9.04,-1.0,,-1.9785,-0.51576,0.0,-103.86538,0.0,1338.821,3.93,,,0.1754,0.84287,Small,3.7,True,2.0,42.3,5.0,50.0,0.063,STRONG SELL,0.614,0.399,0.287
