Rank,Ticker,Name,Exchange,Return_6M_%,SharpeRatio,SortinoRatio,MaxDrawdown,ConsistencyScore,VolumeTrend,QualityScore,RSI,MomentumAccel,PriceVs20dHigh,VolumeSurge,EntryScore,DistanceFromHigh,AvgDrawdown,VolumeConsistency,VolatilityRatio,SMA7,SMA20,SMA50,SMA200,PriceToSMA20Pct,PriceToSMA50Pct,PriceToSMA200Pct,PriceVs52wkHighPct,PriceVs5yrHighPct,PctDaysPositive21d,VolumeUpDnRatio,MovingAvgAlignment,DaysAboveSMA20,UpDnVolumeRatio63d,ROC63,VolCompression5d63d,ConsolidationTightness10d,MaxSingleDayReturn21d,GapUpMagnitude10d,TrendLinearity63d,DaysSince52wkHigh,NormMomentum5d,NormMomentum21d,NormMomentum63d,MomentumAccel5_21,MomentumAccel21_63,VolumeConfirmedMomentum,Momentum12_1,MomentumIntermediate,MomentumAccelLong,EMA7,EMA200,MACD,MACDSignal,MACDHist,RSI7,RSI21,StochK,StochD,ROC5,ROC10,ROC21,ATR14,BollingerPctB,BollingerBandwidth,AnnualizedVol,OBV,RelativeVolume,VolumeROC,Sector,Industry,MarketCap,PE,ForwardPE,PB,PS,PEG,EPS,RevenueGrowth,EarningsGrowth,ROE,ROA,GrossMargin,OperatingMargin,NetMargin,DebtEquity,CurrentRatio,DivYield,Beta,ShortFloat,InstOwnership,MarketCapCategory,MLScore,AboveSMA200,MLScore_lgbm_breakout_v10,MLScore_lgbm_composite_v10,MLScore_lgbm_breakout_cohort_v3,MLScore_lstm_clip_v3,BreakoutProb_lgbm_binary_breakout_v2,BreakoutProb_lgbm_binary_breakout_252d_v1,BreakoutProb_lgbm_binary_breakout_252d_v2
0,AXTI,AXT Inc - Common Stock,NASDAQ,1423.404274157935,2.417437544885252,2.9604827221388605,-38.646989800422894,50.50251256281408,394.563976339176,78.94230474716396,65.54030076395523,0.7662703803042865,95.39729223021553,81.53384438415877,35,-4.602707769784492,-13.310981229125256,-0.5054059114798852,1.1274501402622217,71.9942855834961,61.83850002288818,46.93100006103516,18.13460001051426,27.364024203496456,67.82084769939006,334.307909138146,-4.602707769784492,-0.0460270776978449,0.6190476190476191,1.501396225203882,3.0,8.0,1.3058630661563184,256.54142866542065,1.1888113920619614,0.527298091072456,0.2995391448070714,0.1169769983372432,0.8727340317568572,0.0039682539682539,,,,,,,44.57983115156969,2.327730964481243,-41.90117619138526,72.61508410432427,24.82464766324221,8.274507949933124,6.289892977236349,1.9846149726967752,67.68220865440165,63.44018112375094,89.69001620567516,95.71356110080389,18.52521558063656,87.56846627281743,35.58271979574394,10.492045678413591,0.8758658655809755,72.8026317612,117.85393628006511,202098000.0,0.817510746193786,5.435025097601785,Technology,Semiconductor Equipment & Materials,2930395904.0,,112.99205,10.470612,33.177048,,-0.49,-0.082,,-0.07871,-0.03553,0.12728,-0.16635999,-0.24069999,20.923,2.723,,1.812,0.1175,0.509,Mid,20.4,True,14.2,67.6,2.5,50.0,0.519,0.635,0.111
1,ANL,Adlai Nortye Ltd. - American Depositary Shares,NASDAQ,903.0211884251596,1.4757212214140425,2.3097125524606823,-46.98795102853562,49.49748743718592,214.58104202368463,70.98009977069053,80.10849870082717,0.0421525769237212,100.0,183.28595210654373,30,0.0,-15.189563613748232,-6.367607777067948,0.6610206659924475,14.064285823277064,10.257500052452087,9.466199979782104,3.815984996557236,61.83280815583759,75.36076162477005,335.0122025229704,0.0,0.0,0.7142857142857143,3.517631956505324,3.0,13.0,5.474420423116466,822.2222678455317,1.2682726458059348,0.5927711373577086,0.3001658175459778,-0.0051881517880746,0.3132324168807914,0.0,,,,,,,3.327485339349104,0.0292397375443722,4.645487724184615,14.252227105400928,5.107751330008277,1.9888658338542184,1.2596397633702434,0.7292260704839748,76.59057794464874,72.03903211227582,95.8490519016062,88.18718563032614,37.64510616822451,84.44444868299696,125.54347935240074,2.6516463631439438,0.9576721430507174,135.10284402209186,115.19259168992151,54469600.0,1.43936483544628,475.0341064120055,Healthcare,Biotechnology,388274880.0,,-29.161337,30.744186,,,-1.14,,,-1.38983,-0.29808,0.0,0.0,0.0,562.644,1.025,,-1.452,0.0202,0.061929997,Small,1.3,True,1.5,7.8,0.5,50.0,0.558,0.483,0.05
2,ERAS,"Erasca, Inc. - Common Stock",NASDAQ,812.1847916201684,1.8018206067041092,2.372330447798489,-15.228429805517004,48.99497487437186,117.3335192155534,68.95255185670567,81.90386297434401,0.4190323332917091,100.0,103.0835160398832,20,0.0,-4.749250117860378,-0.297681627976198,1.144685956050494,18.33142852783203,16.87200002670288,14.94040002822876,6.155725022554398,28.674721728975804,45.310694783628605,252.6798062767237,0.0,0.0,0.5238095238095238,0.8708382048745391,3.0,19.0,1.1508312196275252,125.67566884342996,1.2452982597821305,0.3615845560806207,0.142030448347324,0.0191374468941487,0.8913584159900648,0.0,,,,,,,11.586207587568731,0.612069016014638,-10.373159865260792,18.85759371154789,8.224849876065608,1.3773020824077165,1.073581874967633,0.3037202074400835,86.06007293056436,74.97728912242727,98.21654407396528,87.55069177386336,33.108521124149924,26.8107360995012,42.26735752849618,1.6663446450860857,1.1978808055492216,41.088279690411085,87.00289580808273,143727500.0,1.4147021642935744,15.337246515296291,Healthcare,Biotechnology,4643345408.0,,-27.589008,13.05944,,,-0.44,,,-0.33271,-0.18278,0.0,0.0,0.0,14.497,10.04,,1.172,0.0951,0.75831,Mid,21.9,True,18.2,50.9,18.0,50.0,0.581,0.586,0.299
3,BVC,BitVentures Limited - Ordinary Share,NASDAQ,776.9482969060446,1.2381414452873702,9.72313092019112,-54.5762724795584,40.20100502512563,-99.73739096095582,52.02858509326067,47.84908822858346,-0.1290233829455822,95.8744389786122,65.56291390728477,45,-4.125561021387793,-32.08977407623874,-6.424915349903565,1.1067766476391456,10.672857012067524,10.10409994125366,8.63416000366211,3.973499992787838,5.798632659377121,23.810533692324704,169.03232917544605,-27.525426573672533,-0.2752542657367253,0.3809523809523809,1.3157894736842106,3.0,32.0,0.7911200807265388,3.685733708056716,0.8786083854864553,0.1824134598511572,0.1209676497861924,0.0835762546030541,0.2020942362363072,0.2857142857142857,,,,,,,6.016806705852795,0.2689074939964602,-5.976923451177495,10.639941667060246,5.213850561898534,0.6326234924268661,0.6670901149117154,-0.0344666224848493,57.996385240457855,60.1243540954445,76.41025214662328,66.45918142748378,3.8872655006136783,-1.7463284196608724,33.2917577334421,0.4850025933024555,0.6547927754265237,37.46061560947713,320.36605047808933,398794900.0,0.0,-100.0,Technology,Software - Application,1827352832.0,,,187.53621,,,-0.07,,,-0.942,-0.17297001,0.0,0.0,0.0,,62.557,,-1.025,0.001,0.00365,Small,0.2,True,0.4,3.4,5.6,50.0,0.296,0.577,0.035
4,MOBBW,Mobilicom Limited - Warrants,NASDAQ,677.2219901460841,0.7804465515824224,86.92653319804403,-6.49014583684674,0.5025125628140703,,,,,100.0,,5,0.0,-6.258685626167311,,0.0,2.0199999809265137,2.0199999809265137,1.3621699994802474,0.5354675026237965,0.0,48.29279617795644,277.24044335622466,-6.49014583684674,-0.0649014583684673,0.0,2.0,0.0,0.0,2.0,677.2219901460841,0.0,0.0,0.0,0.0,0.7364619471406679,0.115079365079365,,,,,,,6.772219901460841,0.0,0.0,2.019804332214344,0.733183208824703,0.1482052613683848,0.2011863077054759,-0.052981046337091,87.98691324523506,91.77281177477272,,,0.0,0.0,0.0,0.0039174785558972,0.5,4.810582077155303e-06,168.22664650053417,0.0,,,,,627776576.0,inf,,2.7008312,186.64174,,0.0,0.39,,-3.6922102,-0.39946,0.53173,-5.26774,0.0,4.954,8.515,,,,,Small,49.8,True,55.1,15.7,24.6,50.0,0.607,0.765,0.199
5,BNAI,Brand Engagement Network Inc. - Common Stock,NASDAQ,643.4967698603945,1.152179771261545,2.666322924600611,-76.60818672682437,43.21608040201005,-66.61317734486283,52.094339650786665,50.63123994392173,2.897456485320268,61.22914567997096,204.9595636340706,75,-38.770854320029045,-37.904441105376,-4.501830065302717,0.2695110318695175,44.96285738263811,41.43050022125245,35.912400016784666,13.344675007462502,-15.834955538389478,-2.9026216137398366,161.30272121565378,-44.65079534621466,-0.4465079534621465,0.3809523809523809,0.6965936399354076,0.0,0.0,3.323858970156461,449.1338496941672,0.7282984570082128,0.7252652100802093,0.2113646956581836,-0.0003697625754714,0.2503194773563331,0.2222222222222222,,,,,,,10.68587864631841,-0.0979826833907794,-6.0159602087315465,41.92174307250448,18.95866698054053,1.649098955510425,2.645098929197249,-0.995999973686824,35.6786857394158,47.93847163838099,9.054952010077196,18.900743597057293,-31.560356408769923,-20.786009610922548,-15.3229755379529,6.912781345195096,0.2238697479471312,57.34596416244051,217.7378186306559,580110800.0,0.5962196333138903,-5.756292050834786,Technology,Software - Infrastructure,200345376.0,,-63.333332,44.473343,2667.0044,,-6.5,0.202,,-2.18304,-0.51139,0.0,-38.53315,0.0,118.985,0.149,,0.987,0.1277,0.11959,Micro,,,,,,,,,
6,MTC,"MMTec, Inc. - Common Shares",NASDAQ,617.6470274743746,0.803778875433795,3.5764280076456254,-64.44444638091758,46.984924623115575,-92.6817402375551,46.5188163692672,53.98512227503522,59.06097209391088,67.32891415131569,272.62472885032537,75,-32.671085848684314,-13.508092671623675,-10.57847005155423,1.4099811236254305,7.031428609575544,6.211499977111816,5.339499979019165,2.616704994142056,-1.7950587280061856,14.2429053020261,133.1176008869348,-32.671085848684314,-0.3267108584868431,0.6190476190476191,1.1575589459084603,0.0,0.0,1.701327574159944,95.51282462753971,2.46415271807764,0.6729509114898762,0.2604895633930433,0.0227272590439294,0.7866648709717488,0.0119047619047619,,,,,,,5.156249978657191,-0.0999999565382788,-4.129671930830106,6.647957938255487,3.362485083994722,0.4483171660191356,0.4460271488539471,0.0022900171651885,46.15361735755055,52.4087560225103,35.1871851440624,37.71189378945696,-15.395286097663922,12.13235000863829,3.741492957650536,1.3516292234983278,0.4741885506125731,69.54505735274925,204.84042705105745,471758336.0,1.5566160520607375,473.1629392971246,Technology,Software - Application,134749856.0,,,-6.797967,50.358097,,-5.35,,,-2.91749,-0.018660001,0.82208,-1.89747,0.0,,1.316,,-0.79,0.0381,0.0054699997,Micro,,,,,,,,,
7,TERN,"Terns Pharmaceuticals, Inc. - Common Stock",NASDAQ,549.5074189873035,1.5215721989554432,2.2992224814624675,-27.564237630445188,50.50251256281408,425.5288185173467,70.86032875603433,42.99997711164178,0.0180526169976482,99.1912798471194,38.80663401934093,35,-0.8087201528806167,-11.390392481749526,-1.0798394076136333,0.5491938932067991,52.67285755702427,52.45000019073486,46.34580001831055,25.34950003147125,0.552910365447745,13.796723020489434,108.0514472198284,-0.8087201528806167,-0.0080872015288061,0.5238095238095238,1.4789654408399695,3.0,50.0,1.500140268152007,44.09837124927172,0.0431343982934857,0.0064467224453409,0.0572000122070313,0.0005696334732707,0.946069264304383,0.0634920634920634,,,,,,,19.18333195911519,2.408333325054911,-18.741560525585815,52.66370223686754,30.43425174890642,1.7689823271367118,2.196264948316299,-0.4272826211795872,72.30812489832695,71.18483930801739,68.08567625478865,50.52925052209664,0.2471033389223251,-0.0757807915027218,7.501019572288939,0.3494575306900385,0.5790647799458781,6.99313102276673,83.98892683268781,156862700.0,0.3304437704916076,14.803449991706753,Healthcare,Biotechnology,5976169984.0,,-44.23032,16.29082,,,-1.02,,,-0.29123,-0.19944,0.0,0.0,0.0,0.362,19.516,,-0.288,0.1673,1.11578,Mid,23.0,True,20.1,42.3,8.1,50.0,0.324,0.551,0.081
8,SNDK,Sandisk,S&P500,511.57482791317017,3.218518485401307,3.7136406412132215,-31.338749314001294,56.61016949152542,94.63004065655932,,83.6695126723252,-0.1110772402836027,95.85512016076116,97.45594497399618,20,-4.144879839238845,-13.413553507096353,0.1370781280788022,0.9873192259951904,913.4185703822544,768.2910003662109,686.21900390625,308.89157598495484,18.837786606383915,33.05082114222315,195.57944939739,-4.144879839238845,-0.0414487983923884,0.5238095238095238,1.0779857251288916,3.0,13.0,1.4859683450085386,120.73884974360868,0.5054586739529489,0.3037403101293409,0.1182595984350143,0.0623220132506415,0.6611239441370834,0.0198412698412698,,,,,,,21.681687478649767,2.1597954571333617,-20.666724490103828,892.9488573147273,386.3724993252776,76.60557690399025,61.994492789063216,14.61108411492704,68.21853731259463,64.97364192691052,86.55388841356756,88.17410655312587,-4.144879839238845,25.9980974261346,18.25305181699525,59.24401171381738,0.7878923471754047,65.43343993408266,98.58803281410952,408713200.0,0.6314693985177539,-47.07378775909416,Technology,Computer Hardware,84501561344.0,,6.526072,8.296259,9.46372,,-7.45,0.612,6.18,-0.09372,0.05866,0.34807998,0.35504,-0.11659,7.96,3.114,,,0.0858,0.82499003,Large,18.8,True,12.8,65.3,2.4,50.0,0.519,0.471,0.388
9,HYMC,Hycroft Mining Holding Corporation - Class A Common Stock,NASDAQ,499.0463257034192,2.174917717664194,2.708279622989818,-46.17868838064737,52.26130653266332,64.54219202815199,71.39569251604206,83.88555980464223,0.1484085077987895,99.54721087495358,83.03916638332441,10,-0.4527891250464206,-20.458080767797167,-0.5107658274018756,0.6888170566214691,41.13571493966239,36.86500024795532,39.2532999420166,19.264999965429308,19.27302570177488,12.016063071522249,128.23774357439137,-21.11589541324072,-0.2111589541324072,0.6190476190476191,1.2481825435524625,1.0,10.0,0.9395253217940812,26.97083414527376,0.520445923868736,0.2710711482229775,0.1552347081121161,0.1064060302038284,0.1172396375018126,0.1349206349206349,,,,,,,7.1743867510473525,0.572207046587639,-7.146329684175808,41.437995520920495,23.90038512265513,1.2656093915208046,0.1703597615410809,1.095249629979724,72.74404249605617,57.24544457874912,87.19995365445686,87.10796986659138,11.14762308979475,22.17282347894651,38.44458722867951,3.366157314773909,0.9450233651361876,43.30789619524108,99.41448815543956,110600100.0,0.7542944166983943,-74.62848063990357,Basic Materials,Gold,2774235648.0,,-108.82143,11.837607,,,-0.94,,,-0.45112,-0.13838,0.0,0.0,0.0,0.018,24.243,,2.791,0.125,0.2604,Mid,6.5,True,4.5,42.7,7.8,50.0,0.473,0.709,0.138
