fold,test_start,test_end,n_train,n_test,ic,hit_rate
1,2020-10-09,2020-11-06,198409,16372,-0.0347,0.4914
2,2020-11-13,2020-12-11,214593,16488,-0.1333,0.4611
3,2020-12-18,2021-01-15,230813,16636,-0.1102,0.4465
4,2021-01-22,2021-02-19,247104,16780,-0.0536,0.5061
5,2021-02-26,2021-03-19,263501,13566,0.0094,0.5128
6,2021-03-26,2021-04-23,276699,17094,0.0536,0.5103
7,2021-04-30,2021-05-28,293335,17279,-0.1162,0.4237
8,2021-06-04,2021-07-02,310115,17419,0.0897,0.5388
9,2021-07-09,2021-08-06,327088,17611,0.0867,0.5299
10,2021-08-13,2021-09-10,344217,17788,0.103,0.5175
11,2021-09-17,2021-10-15,361523,17994,0.1405,0.5262
12,2021-10-22,2021-11-19,378976,18217,0.1462,0.5312
13,2021-11-26,2021-12-23,396629,18301,0.0611,0.498
14,2021-12-31,2022-01-28,414449,18461,0.043,0.5076
15,2022-02-04,2022-02-25,432498,14896,0.0011,0.4754
16,2022-03-04,2022-04-01,447083,18702,0.1206,0.5236
17,2022-04-08,2022-05-06,465384,18766,0.0639,0.5082
18,2022-05-13,2022-06-10,483845,18844,-0.0187,0.4911
19,2022-06-17,2022-07-15,502473,18877,0.1147,0.5366
20,2022-07-22,2022-08-19,521191,18916,0.2702,0.6006
21,2022-08-26,2022-09-23,539974,18940,0.2829,0.5969
22,2022-09-30,2022-10-28,558825,18968,0.2239,0.5837
23,2022-11-04,2022-12-02,577709,18997,0.1647,0.5539
24,2022-12-09,2023-01-06,596633,19035,0.1106,0.5325
25,2023-01-13,2023-02-10,615578,19067,0.2012,0.5672
26,2023-02-17,2023-03-10,634551,15281,0.1227,0.537
27,2023-03-17,2023-04-14,649751,19121,0.1015,0.5312
28,2023-04-21,2023-05-19,668786,19164,0.1461,0.5295
29,2023-05-26,2023-06-23,687853,19199,0.1482,0.5389
30,2023-06-30,2023-07-28,706957,19241,0.2643,0.5882
31,2023-08-04,2023-09-01,726082,19260,0.339,0.6247
32,2023-09-08,2023-10-06,745257,19297,0.1731,0.5632
33,2023-10-13,2023-11-10,764464,19348,0.0843,0.5239
34,2023-11-17,2023-12-15,783710,19381,0.1332,0.5491
35,2023-12-22,2024-01-19,802974,19442,0.2278,0.5674
36,2024-01-26,2024-02-23,822282,19481,0.2992,0.6021
37,2024-03-01,2024-03-28,841638,19505,0.3281,0.6119
38,2024-04-05,2024-05-03,861029,19556,0.2587,0.5971
39,2024-05-10,2024-06-07,880480,19615,0.2394,0.5891
40,2024-06-14,2024-07-12,899968,19651,0.1873,0.5678
41,2024-07-19,2024-08-16,919478,19729,0.1905,0.5605
42,2024-08-23,2024-09-20,939051,19795,0.1614,0.5564
43,2024-09-27,2024-10-25,958668,19891,0.1494,0.5454
44,2024-11-01,2024-11-29,978334,19974,0.1884,0.5648
45,2024-12-06,2025-01-03,998077,20038,0.3219,0.603
46,2025-01-10,2025-02-07,1017889,20149,0.3318,0.6254
47,2025-02-14,2025-03-07,1037800,16153,0.2974,0.6152
48,2025-03-14,2025-04-11,1053784,20255,0.2513,0.5947
49,2025-04-17,2025-05-16,1073822,20357,0.2324,0.5898
50,2025-05-23,2025-06-20,1093971,20462,0.139,0.5362
51,2025-06-27,2025-07-25,1114168,20515,0.0358,0.5009
52,2025-08-01,2025-08-29,1134437,20611,0.072,0.5244
53,2025-09-05,2025-10-03,1154826,20787,0.1254,0.5462
54,2025-10-10,2025-11-07,1175295,20952,0.2421,0.5884
55,2025-11-14,2025-12-12,1195826,21107,0.2778,0.601
56,2025-12-19,2025-12-19,1216463,4241,0.3145,0.6121
