fold,test_start,test_end,n_train,n_test,ic,hit_rate
1,2020-10-09,2020-11-06,198409,16372,-0.0104,0.4861
2,2020-11-13,2020-12-11,214593,16488,-0.0849,0.4649
3,2020-12-18,2021-01-15,230813,16636,-0.1251,0.4491
4,2021-01-22,2021-02-19,247104,16780,-0.1468,0.4475
5,2021-02-26,2021-03-19,263501,13566,-0.0262,0.4839
6,2021-03-26,2021-04-23,276699,17094,0.0037,0.4933
7,2021-04-30,2021-05-28,293335,17279,-0.0358,0.4814
8,2021-06-04,2021-07-02,310115,17419,0.1921,0.5607
9,2021-07-09,2021-08-06,327088,17611,0.0833,0.5284
10,2021-08-13,2021-09-10,344217,17788,0.0611,0.5188
11,2021-09-17,2021-10-15,361523,17994,0.1195,0.5256
12,2021-10-22,2021-11-19,378976,18217,-0.0435,0.4701
13,2021-11-26,2021-12-23,396629,18301,0.0338,0.4996
14,2021-12-31,2022-01-28,414449,18461,0.072,0.52
15,2022-02-04,2022-02-25,432498,14896,0.1206,0.5363
16,2022-03-04,2022-04-01,447083,18702,0.0875,0.5214
17,2022-04-08,2022-05-06,465384,18766,0.0793,0.5153
18,2022-05-13,2022-06-10,483845,18844,0.0955,0.5286
19,2022-06-17,2022-07-15,502473,18877,0.1483,0.5498
20,2022-07-22,2022-08-19,521191,18916,0.2383,0.5651
21,2022-08-26,2022-09-23,539974,18940,0.2007,0.5747
22,2022-09-30,2022-10-28,558825,18968,0.1478,0.5549
23,2022-11-04,2022-12-02,577709,18997,0.1413,0.5462
24,2022-12-09,2023-01-06,596633,19035,0.1774,0.5589
25,2023-01-13,2023-02-10,615578,19067,0.2253,0.5796
26,2023-02-17,2023-03-10,634551,15281,0.1396,0.546
27,2023-03-17,2023-04-14,649751,19121,0.2186,0.5738
28,2023-04-21,2023-05-19,668786,19164,0.2596,0.5918
29,2023-05-26,2023-06-23,687853,19199,0.0646,0.5193
30,2023-06-30,2023-07-28,706957,19241,0.1095,0.5271
31,2023-08-04,2023-09-01,726082,19260,0.2432,0.5788
32,2023-09-08,2023-10-06,745257,19297,0.1913,0.5549
33,2023-10-13,2023-11-10,764464,19348,0.1267,0.5377
34,2023-11-17,2023-12-15,783710,19381,0.2303,0.583
35,2023-12-22,2024-01-19,802974,19442,0.2921,0.6108
36,2024-01-26,2024-02-23,822282,19481,0.3028,0.6077
37,2024-03-01,2024-03-28,841638,19505,0.2647,0.5978
38,2024-04-05,2024-05-03,861029,19556,0.1819,0.5576
39,2024-05-10,2024-06-07,880480,19615,0.1451,0.5421
40,2024-06-14,2024-07-12,899968,19651,0.1661,0.5497
41,2024-07-19,2024-08-16,919478,19729,0.2549,0.5884
42,2024-08-23,2024-09-20,939051,19795,0.2079,0.5797
43,2024-09-27,2024-10-25,958668,19891,0.1297,0.5553
44,2024-11-01,2024-11-29,978334,19974,0.142,0.5623
45,2024-12-06,2025-01-03,998077,20038,0.2336,0.5798
46,2025-01-10,2025-02-07,1017889,20149,0.2183,0.5744
47,2025-02-14,2025-03-07,1037800,16153,0.3206,0.6103
48,2025-03-14,2025-04-11,1053784,20255,0.3202,0.6079
49,2025-04-17,2025-05-16,1073822,20357,0.3176,0.605
50,2025-05-23,2025-06-20,1093971,20462,0.2753,0.5909
51,2025-06-27,2025-07-25,1114168,20515,0.1656,0.5563
52,2025-08-01,2025-08-29,1134437,20611,0.1451,0.5451
53,2025-09-05,2025-10-03,1154826,20787,0.2202,0.5829
54,2025-10-10,2025-11-07,1175295,20952,0.2693,0.5938
55,2025-11-14,2025-12-12,1195826,21107,0.2552,0.5855
56,2025-12-19,2025-12-19,1216463,4241,0.2399,0.5817
